# theta(rad),x,y,Cp
0.0000,0.9000,0.0000,1.0000
0.1795,0.8855,0.1607,0.8725
0.3590,0.8426,0.3162,0.5061
0.5386,0.7726,0.4616,-0.0523
0.7181,0.6778,0.5921,-0.7315
0.8976,0.5611,0.7036,-1.4450
1.0771,0.4265,0.7925,-2.1018
1.2566,0.2781,0.8560,-2.6180
1.4362,0.1208,0.8919,-2.9279
1.6157,-0.0404,0.8991,-2.9919
1.7952,-0.2003,0.8774,-2.8019
1.9747,-0.3537,0.8276,-2.3821
2.1542,-0.4958,0.7511,-1.7861
2.3338,-0.6220,0.6505,-1.0897
2.5133,-0.7281,0.5290,-0.3820
2.6928,-0.8109,0.3905,0.2470
2.8723,-0.8676,0.2394,0.7169
3.0518,-0.8964,0.0807,0.9679
3.2314,-0.8964,-0.0807,0.9679
3.4109,-0.8676,-0.2394,0.7169
3.5904,-0.8109,-0.3905,0.2470
3.7699,-0.7281,-0.5290,-0.3820
3.9494,-0.6220,-0.6505,-1.0897
4.1290,-0.4958,-0.7511,-1.7861
4.3085,-0.3537,-0.8276,-2.3821
4.4880,-0.2003,-0.8774,-2.8019
4.6675,-0.0404,-0.8991,-2.9919
4.8470,0.1208,-0.8919,-2.9279
5.0265,0.2781,-0.8560,-2.6180
5.2061,0.4265,-0.7925,-2.1018
5.3856,0.5611,-0.7036,-1.4450
5.5651,0.6778,-0.5921,-0.7315
5.7446,0.7726,-0.4616,-0.0523
5.9241,0.8426,-0.3162,0.5061
6.1037,0.8855,-0.1607,0.8725
6.2832,0.9000,-0.0000,1.0000
