# theta(rad),x,y,Cp
0.0000,1.0000,0.0000,1.0000
0.1795,0.9839,0.1786,0.8725
0.3590,0.9362,0.3514,0.5061
0.5386,0.8584,0.5129,-0.0523
0.7181,0.7531,0.6579,-0.7315
0.8976,0.6235,0.7818,-1.4450
1.0771,0.4739,0.8806,-2.1018
1.2566,0.3090,0.9511,-2.6180
1.4362,0.1342,0.9909,-2.9279
1.6157,-0.0449,0.9990,-2.9919
1.7952,-0.2225,0.9749,-2.8019
1.9747,-0.3930,0.9195,-2.3821
2.1542,-0.5509,0.8346,-1.7861
2.3338,-0.6911,0.7228,-1.0897
2.5133,-0.8090,0.5878,-0.3820
2.6928,-0.9010,0.4339,0.2470
2.8723,-0.9640,0.2660,0.7169
3.0518,-0.9960,0.0896,0.9679
3.2314,-0.9960,-0.0896,0.9679
3.4109,-0.9640,-0.2660,0.7169
3.5904,-0.9010,-0.4339,0.2470
3.7699,-0.8090,-0.5878,-0.3820
3.9494,-0.6911,-0.7228,-1.0897
4.1290,-0.5509,-0.8346,-1.7861
4.3085,-0.3930,-0.9195,-2.3821
4.4880,-0.2225,-0.9749,-2.8019
4.6675,-0.0449,-0.9990,-2.9919
4.8470,0.1342,-0.9909,-2.9279
5.0265,0.3090,-0.9511,-2.6180
5.2061,0.4739,-0.8806,-2.1018
5.3856,0.6235,-0.7818,-1.4450
5.5651,0.7531,-0.6579,-0.7315
5.7446,0.8584,-0.5129,-0.0523
5.9241,0.9362,-0.3514,0.5061
6.1037,0.9839,-0.1786,0.8725
6.2832,1.0000,-0.0000,1.0000
