# theta(rad),x,y,Cp
0.0000,1.4000,0.0000,1.0000
0.1795,1.3775,0.2500,0.8725
0.3590,1.3107,0.4919,0.5061
0.5386,1.2018,0.7181,-0.0523
0.7181,1.0543,0.9211,-0.7315
0.8976,0.8729,1.0946,-1.4450
1.0771,0.6634,1.2328,-2.1018
1.2566,0.4326,1.3315,-2.6180
1.4362,0.1879,1.3873,-2.9279
1.6157,-0.0628,1.3986,-2.9919
1.7952,-0.3115,1.3649,-2.8019
1.9747,-0.5502,1.2873,-2.3821
2.1542,-0.7713,1.1684,-1.7861
2.3338,-0.9675,1.0119,-1.0897
2.5133,-1.1326,0.8229,-0.3820
2.6928,-1.2614,0.6074,0.2470
2.8723,-1.3495,0.3725,0.7169
3.0518,-1.3944,0.1255,0.9679
3.2314,-1.3944,-0.1255,0.9679
3.4109,-1.3495,-0.3725,0.7169
3.5904,-1.2614,-0.6074,0.2470
3.7699,-1.1326,-0.8229,-0.3820
3.9494,-0.9675,-1.0119,-1.0897
4.1290,-0.7713,-1.1684,-1.7861
4.3085,-0.5502,-1.2873,-2.3821
4.4880,-0.3115,-1.3649,-2.8019
4.6675,-0.0628,-1.3986,-2.9919
4.8470,0.1879,-1.3873,-2.9279
5.0265,0.4326,-1.3315,-2.6180
5.2061,0.6634,-1.2328,-2.1018
5.3856,0.8729,-1.0946,-1.4450
5.5651,1.0543,-0.9211,-0.7315
5.7446,1.2018,-0.7181,-0.0523
5.9241,1.3107,-0.4919,0.5061
6.1037,1.3775,-0.2500,0.8725
6.2832,1.4000,-0.0000,1.0000
