# theta(rad),x,y,Cp
0.0000,0.7000,0.0000,1.0000
0.1795,0.6888,0.1250,0.8725
0.3590,0.6554,0.2460,0.5061
0.5386,0.6009,0.3590,-0.0523
0.7181,0.5272,0.4606,-0.7315
0.8976,0.4364,0.5473,-1.4450
1.0771,0.3317,0.6164,-2.1018
1.2566,0.2163,0.6657,-2.6180
1.4362,0.0940,0.6937,-2.9279
1.6157,-0.0314,0.6993,-2.9919
1.7952,-0.1558,0.6824,-2.8019
1.9747,-0.2751,0.6437,-2.3821
2.1542,-0.3856,0.5842,-1.7861
2.3338,-0.4837,0.5060,-1.0897
2.5133,-0.5663,0.4114,-0.3820
2.6928,-0.6307,0.3037,0.2470
2.8723,-0.6748,0.1862,0.7169
3.0518,-0.6972,0.0627,0.9679
3.2314,-0.6972,-0.0627,0.9679
3.4109,-0.6748,-0.1862,0.7169
3.5904,-0.6307,-0.3037,0.2470
3.7699,-0.5663,-0.4114,-0.3820
3.9494,-0.4837,-0.5060,-1.0897
4.1290,-0.3856,-0.5842,-1.7861
4.3085,-0.2751,-0.6437,-2.3821
4.4880,-0.1558,-0.6824,-2.8019
4.6675,-0.0314,-0.6993,-2.9919
4.8470,0.0940,-0.6937,-2.9279
5.0265,0.2163,-0.6657,-2.6180
5.2061,0.3317,-0.6164,-2.1018
5.3856,0.4364,-0.5473,-1.4450
5.5651,0.5272,-0.4606,-0.7315
5.7446,0.6009,-0.3590,-0.0523
5.9241,0.6554,-0.2460,0.5061
6.1037,0.6888,-0.1250,0.8725
6.2832,0.7000,-0.0000,1.0000
