# theta(rad),x,y,Cp
0.0000,1.7000,0.0000,1.0000
0.1795,1.6727,0.3035,0.8725
0.3590,1.5916,0.5973,0.5061
0.5386,1.4594,0.8719,-0.0523
0.7181,1.2802,1.1185,-0.7315
0.8976,1.0599,1.3291,-1.4450
1.0771,0.8056,1.4970,-2.1018
1.2566,0.5253,1.6168,-2.6180
1.4362,0.2282,1.6846,-2.9279
1.6157,-0.0763,1.6983,-2.9919
1.7952,-0.3783,1.6574,-2.8019
1.9747,-0.6681,1.5632,-2.3821
2.1542,-0.9365,1.4188,-1.7861
2.3338,-1.1748,1.2288,-1.0897
2.5133,-1.3753,0.9992,-0.3820
2.6928,-1.5316,0.7376,0.2470
2.8723,-1.6387,0.4523,0.7169
3.0518,-1.6932,0.1524,0.9679
3.2314,-1.6932,-0.1524,0.9679
3.4109,-1.6387,-0.4523,0.7169
3.5904,-1.5316,-0.7376,0.2470
3.7699,-1.3753,-0.9992,-0.3820
3.9494,-1.1748,-1.2288,-1.0897
4.1290,-0.9365,-1.4188,-1.7861
4.3085,-0.6681,-1.5632,-2.3821
4.4880,-0.3783,-1.6574,-2.8019
4.6675,-0.0763,-1.6983,-2.9919
4.8470,0.2282,-1.6846,-2.9279
5.0265,0.5253,-1.6168,-2.6180
5.2061,0.8056,-1.4970,-2.1018
5.3856,1.0599,-1.3291,-1.4450
5.5651,1.2802,-1.1185,-0.7315
5.7446,1.4594,-0.8719,-0.0523
5.9241,1.5916,-0.5973,0.5061
6.1037,1.6727,-0.3035,0.8725
6.2832,1.7000,-0.0000,1.0000
