# theta(rad),x,y,Cp
0.0000,0.6000,0.0000,1.0000
0.1795,0.5904,0.1071,0.8725
0.3590,0.5617,0.2108,0.5061
0.5386,0.5151,0.3077,-0.0523
0.7181,0.4518,0.3948,-0.7315
0.8976,0.3741,0.4691,-1.4450
1.0771,0.2843,0.5284,-2.1018
1.2566,0.1854,0.5706,-2.6180
1.4362,0.0805,0.5946,-2.9279
1.6157,-0.0269,0.5994,-2.9919
1.7952,-0.1335,0.5850,-2.8019
1.9747,-0.2358,0.5517,-2.3821
2.1542,-0.3305,0.5007,-1.7861
2.3338,-0.4146,0.4337,-1.0897
2.5133,-0.4854,0.3527,-0.3820
2.6928,-0.5406,0.2603,0.2470
2.8723,-0.5784,0.1596,0.7169
3.0518,-0.5976,0.0538,0.9679
3.2314,-0.5976,-0.0538,0.9679
3.4109,-0.5784,-0.1596,0.7169
3.5904,-0.5406,-0.2603,0.2470
3.7699,-0.4854,-0.3527,-0.3820
3.9494,-0.4146,-0.4337,-1.0897
4.1290,-0.3305,-0.5007,-1.7861
4.3085,-0.2358,-0.5517,-2.3821
4.4880,-0.1335,-0.5850,-2.8019
4.6675,-0.0269,-0.5994,-2.9919
4.8470,0.0805,-0.5946,-2.9279
5.0265,0.1854,-0.5706,-2.6180
5.2061,0.2843,-0.5284,-2.1018
5.3856,0.3741,-0.4691,-1.4450
5.5651,0.4518,-0.3948,-0.7315
5.7446,0.5151,-0.3077,-0.0523
5.9241,0.5617,-0.2108,0.5061
6.1037,0.5904,-0.1071,0.8725
6.2832,0.6000,-0.0000,1.0000
