# theta(rad),x,y,Cp
0.0000,0.8000,0.0000,1.0000
0.1795,0.7871,0.1428,0.8725
0.3590,0.7490,0.2811,0.5061
0.5386,0.6868,0.4103,-0.0523
0.7181,0.6025,0.5264,-0.7315
0.8976,0.4988,0.6255,-1.4450
1.0771,0.3791,0.7045,-2.1018
1.2566,0.2472,0.7608,-2.6180
1.4362,0.1074,0.7928,-2.9279
1.6157,-0.0359,0.7992,-2.9919
1.7952,-0.1780,0.7799,-2.8019
1.9747,-0.3144,0.7356,-2.3821
2.1542,-0.4407,0.6677,-1.7861
2.3338,-0.5529,0.5782,-1.0897
2.5133,-0.6472,0.4702,-0.3820
2.6928,-0.7208,0.3471,0.2470
2.8723,-0.7712,0.2128,0.7169
3.0518,-0.7968,0.0717,0.9679
3.2314,-0.7968,-0.0717,0.9679
3.4109,-0.7712,-0.2128,0.7169
3.5904,-0.7208,-0.3471,0.2470
3.7699,-0.6472,-0.4702,-0.3820
3.9494,-0.5529,-0.5782,-1.0897
4.1290,-0.4407,-0.6677,-1.7861
4.3085,-0.3144,-0.7356,-2.3821
4.4880,-0.1780,-0.7799,-2.8019
4.6675,-0.0359,-0.7992,-2.9919
4.8470,0.1074,-0.7928,-2.9279
5.0265,0.2472,-0.7608,-2.6180
5.2061,0.3791,-0.7045,-2.1018
5.3856,0.4988,-0.6255,-1.4450
5.5651,0.6025,-0.5264,-0.7315
5.7446,0.6868,-0.4103,-0.0523
5.9241,0.7490,-0.2811,0.5061
6.1037,0.7871,-0.1428,0.8725
6.2832,0.8000,-0.0000,1.0000
