# theta(rad),x,y,Cp
0.0000,1.5000,0.0000,1.0000
0.1795,1.4759,0.2678,0.8725
0.3590,1.4044,0.5271,0.5061
0.5386,1.2877,0.7693,-0.0523
0.7181,1.1296,0.9869,-0.7315
0.8976,0.9352,1.1727,-1.4450
1.0771,0.7108,1.3209,-2.1018
1.2566,0.4635,1.4266,-2.6180
1.4362,0.2013,1.4864,-2.9279
1.6157,-0.0673,1.4985,-2.9919
1.7952,-0.3338,1.4624,-2.8019
1.9747,-0.5895,1.3793,-2.3821
2.1542,-0.8263,1.2519,-1.7861
2.3338,-1.0366,1.0842,-1.0897
2.5133,-1.2135,0.8817,-0.3820
2.6928,-1.3515,0.6508,0.2470
2.8723,-1.4459,0.3991,0.7169
3.0518,-1.4940,0.1345,0.9679
3.2314,-1.4940,-0.1345,0.9679
3.4109,-1.4459,-0.3991,0.7169
3.5904,-1.3515,-0.6508,0.2470
3.7699,-1.2135,-0.8817,-0.3820
3.9494,-1.0366,-1.0842,-1.0897
4.1290,-0.8263,-1.2519,-1.7861
4.3085,-0.5895,-1.3793,-2.3821
4.4880,-0.3338,-1.4624,-2.8019
4.6675,-0.0673,-1.4985,-2.9919
4.8470,0.2013,-1.4864,-2.9279
5.0265,0.4635,-1.4266,-2.6180
5.2061,0.7108,-1.3209,-2.1018
5.3856,0.9352,-1.1727,-1.4450
5.5651,1.1296,-0.9869,-0.7315
5.7446,1.2877,-0.7693,-0.0523
5.9241,1.4044,-0.5271,0.5061
6.1037,1.4759,-0.2678,0.8725
6.2832,1.5000,-0.0000,1.0000
