# theta(rad),x,y,Cp
0.0000,1.8000,0.0000,1.0000
0.1795,1.7711,0.3214,0.8725
0.3590,1.6852,0.6325,0.5061
0.5386,1.5452,0.9232,-0.0523
0.7181,1.3555,1.1843,-0.7315
0.8976,1.1223,1.4073,-1.4450
1.0771,0.8530,1.5851,-2.1018
1.2566,0.5562,1.7119,-2.6180
1.4362,0.2416,1.7837,-2.9279
1.6157,-0.0808,1.7982,-2.9919
1.7952,-0.4005,1.7549,-2.8019
1.9747,-0.7074,1.6551,-2.3821
2.1542,-0.9916,1.5022,-1.7861
2.3338,-1.2439,1.3010,-1.0897
2.5133,-1.4562,1.0580,-0.3820
2.6928,-1.6217,0.7810,0.2470
2.8723,-1.7351,0.4789,0.7169
3.0518,-1.7928,0.1614,0.9679
3.2314,-1.7928,-0.1614,0.9679
3.4109,-1.7351,-0.4789,0.7169
3.5904,-1.6217,-0.7810,0.2470
3.7699,-1.4562,-1.0580,-0.3820
3.9494,-1.2439,-1.3010,-1.0897
4.1290,-0.9916,-1.5022,-1.7861
4.3085,-0.7074,-1.6551,-2.3821
4.4880,-0.4005,-1.7549,-2.8019
4.6675,-0.0808,-1.7982,-2.9919
4.8470,0.2416,-1.7837,-2.9279
5.0265,0.5562,-1.7119,-2.6180
5.2061,0.8530,-1.5851,-2.1018
5.3856,1.1223,-1.4073,-1.4450
5.5651,1.3555,-1.1843,-0.7315
5.7446,1.5452,-0.9232,-0.0523
5.9241,1.6852,-0.6325,0.5061
6.1037,1.7711,-0.3214,0.8725
6.2832,1.8000,-0.0000,1.0000
