# theta(rad),x,y,Cp
0.0000,1.6000,0.0000,1.0000
0.1795,1.5743,0.2857,0.8725
0.3590,1.4980,0.5622,0.5061
0.5386,1.3735,0.8206,-0.0523
0.7181,1.2049,1.0527,-0.7315
0.8976,0.9976,1.2509,-1.4450
1.0771,0.7582,1.4090,-2.1018
1.2566,0.4944,1.5217,-2.6180
1.4362,0.2148,1.5855,-2.9279
1.6157,-0.0718,1.5984,-2.9919
1.7952,-0.3560,1.5599,-2.8019
1.9747,-0.6288,1.4712,-2.3821
2.1542,-0.8814,1.3353,-1.7861
2.3338,-1.1057,1.1565,-1.0897
2.5133,-1.2944,0.9405,-0.3820
2.6928,-1.4416,0.6942,0.2470
2.8723,-1.5423,0.4257,0.7169
3.0518,-1.5936,0.1434,0.9679
3.2314,-1.5936,-0.1434,0.9679
3.4109,-1.5423,-0.4257,0.7169
3.5904,-1.4416,-0.6942,0.2470
3.7699,-1.2944,-0.9405,-0.3820
3.9494,-1.1057,-1.1565,-1.0897
4.1290,-0.8814,-1.3353,-1.7861
4.3085,-0.6288,-1.4712,-2.3821
4.4880,-0.3560,-1.5599,-2.8019
4.6675,-0.0718,-1.5984,-2.9919
4.8470,0.2148,-1.5855,-2.9279
5.0265,0.4944,-1.5217,-2.6180
5.2061,0.7582,-1.4090,-2.1018
5.3856,0.9976,-1.2509,-1.4450
5.5651,1.2049,-1.0527,-0.7315
5.7446,1.3735,-0.8206,-0.0523
5.9241,1.4980,-0.5622,0.5061
6.1037,1.5743,-0.2857,0.8725
6.2832,1.6000,-0.0000,1.0000
