# theta(rad),x,y,Cp
0.0000,1.3000,0.0000,1.0000
0.1795,1.2791,0.2321,0.8725
0.3590,1.2171,0.4568,0.5061
0.5386,1.1160,0.6668,-0.0523
0.7181,0.9790,0.8553,-0.7315
0.8976,0.8105,1.0164,-1.4450
1.0771,0.6160,1.1448,-2.1018
1.2566,0.4017,1.2364,-2.6180
1.4362,0.1745,1.2882,-2.9279
1.6157,-0.0583,1.2987,-2.9919
1.7952,-0.2893,1.2674,-2.8019
1.9747,-0.5109,1.1954,-2.3821
2.1542,-0.7162,1.0849,-1.7861
2.3338,-0.8984,0.9396,-1.0897
2.5133,-1.0517,0.7641,-0.3820
2.6928,-1.1713,0.5640,0.2470
2.8723,-1.2532,0.3458,0.7169
3.0518,-1.2948,0.1165,0.9679
3.2314,-1.2948,-0.1165,0.9679
3.4109,-1.2532,-0.3458,0.7169
3.5904,-1.1713,-0.5640,0.2470
3.7699,-1.0517,-0.7641,-0.3820
3.9494,-0.8984,-0.9396,-1.0897
4.1290,-0.7162,-1.0849,-1.7861
4.3085,-0.5109,-1.1954,-2.3821
4.4880,-0.2893,-1.2674,-2.8019
4.6675,-0.0583,-1.2987,-2.9919
4.8470,0.1745,-1.2882,-2.9279
5.0265,0.4017,-1.2364,-2.6180
5.2061,0.6160,-1.1448,-2.1018
5.3856,0.8105,-1.0164,-1.4450
5.5651,0.9790,-0.8553,-0.7315
5.7446,1.1160,-0.6668,-0.0523
5.9241,1.2171,-0.4568,0.5061
6.1037,1.2791,-0.2321,0.8725
6.2832,1.3000,-0.0000,1.0000
