# theta(rad),x,y,Cp
0.0000,1.1000,0.0000,1.0000
0.1795,1.0823,0.1964,0.8725
0.3590,1.0299,0.3865,0.5061
0.5386,0.9443,0.5642,-0.0523
0.7181,0.8284,0.7237,-0.7315
0.8976,0.6858,0.8600,-1.4450
1.0771,0.5213,0.9687,-2.1018
1.2566,0.3399,1.0462,-2.6180
1.4362,0.1477,1.0900,-2.9279
1.6157,-0.0494,1.0989,-2.9919
1.7952,-0.2448,1.0724,-2.8019
1.9747,-0.4323,1.0115,-2.3821
2.1542,-0.6060,0.9180,-1.7861
2.3338,-0.7602,0.7951,-1.0897
2.5133,-0.8899,0.6466,-0.3820
2.6928,-0.9911,0.4773,0.2470
2.8723,-1.0604,0.2926,0.7169
3.0518,-1.0956,0.0986,0.9679
3.2314,-1.0956,-0.0986,0.9679
3.4109,-1.0604,-0.2926,0.7169
3.5904,-0.9911,-0.4773,0.2470
3.7699,-0.8899,-0.6466,-0.3820
3.9494,-0.7602,-0.7951,-1.0897
4.1290,-0.6060,-0.9180,-1.7861
4.3085,-0.4323,-1.0115,-2.3821
4.4880,-0.2448,-1.0724,-2.8019
4.6675,-0.0494,-1.0989,-2.9919
4.8470,0.1477,-1.0900,-2.9279
5.0265,0.3399,-1.0462,-2.6180
5.2061,0.5213,-0.9687,-2.1018
5.3856,0.6858,-0.8600,-1.4450
5.5651,0.8284,-0.7237,-0.7315
5.7446,0.9443,-0.5642,-0.0523
5.9241,1.0299,-0.3865,0.5061
6.1037,1.0823,-0.1964,0.8725
6.2832,1.1000,-0.0000,1.0000
